Epoch,Cost,TrainLoss,ValiLoss,TestLoss,MAELoss,TestCG,TestCGD,TestCGI,ValiCG,ValiCGD,ValiCGI,TrainCG
1,1878.6607921123505,0.04001966956215657,0.07699192645697739,0.06923190771111237,0.18390005272635834,0.6635771543086172,0.5233550434201737,0.8251002004008017,0.6762048192771084,0.5161646586345382,0.8984437751004016,0.7032234957020057
2,1874.5184133052826,0.03898509218488262,0.07817186489158935,0.07833997895409221,0.1962095992546342,0.6615731462925851,0.5313293253173013,0.7757765531062123,0.6736947791164659,0.5267402945113788,0.8654618473895582,0.7165830945558739
3,1874.0147738456726,0.03813459162525619,0.06128461696263627,0.05962668426025972,0.17211443612086988,0.6963927855711423,0.5586005344021376,0.8514529058116233,0.7035642570281124,0.5505187416331994,0.9221385542168675,0.7145057306590258
4,1873.204318523407,0.03666801996419692,0.056272721562317635,0.05137947580556876,0.15960766061513362,0.6948897795591182,0.5861890447561791,0.8957665330661322,0.7018072289156626,0.5772088353413656,0.9434236947791165,0.7223495702005731
5,1873.1544625759125,0.03585145562983259,0.0624350049817209,0.05741020814022926,0.1678025810036786,0.68687374749499,0.5937625250501003,0.8579158316633267,0.6987951807228916,0.5828815261044178,0.9272590361445783,0.7215974212034384
6,1873.4946765899658,0.03516001213091108,0.0561546246225695,0.054219649470073426,0.16534072903165956,0.7001503006012024,0.6118653974615899,0.8698396793587173,0.7108433734939759,0.6006358768406961,0.936495983935743,0.7210243553008596
7,1873.07031583786,0.034078091279707616,0.0588098252435256,0.057622644963500676,0.16984548129678848,0.6809869739478958,0.6117484969939879,0.8609218436873747,0.6922690763052208,0.5976740294511379,0.9281626506024095,0.7287607449856733
8,1873.0886206626892,0.03363277107172974,0.05833055777475238,0.05730478065778951,0.170518109589845,0.6842434869739479,0.6162157648630595,0.8504759519038078,0.6957831325301205,0.6004852744310575,0.923293172690763,0.728904011461318
9,1873.4793527126312,0.03323117733844969,0.050827501355726494,0.04861912821449399,0.15800498076201322,0.7077905811623246,0.6189462257849031,0.8918587174348698,0.7196285140562249,0.6049531459170013,0.9457329317269076,0.7286174785100287
10,1872.9895899295807,0.03312878218308667,0.043926297667357755,0.04003982457149408,0.1447508175500887,0.7352204408817635,0.6200150300601204,0.9318887775551102,0.7434738955823293,0.60369812583668,0.9600401606425704,0.7301934097421203
11,1873.34601688385,0.03242751519625371,0.04159309005506905,0.03677529752495249,0.13917776816832517,0.7403557114228457,0.6192969271877088,0.9398797595190381,0.7472389558232931,0.605404953145917,0.9641566265060241,0.7343839541547278
12,1873.054852962494,0.03236211571231335,0.03954650720218608,0.033848625459878115,0.133663372564053,0.7527555110220441,0.6219772879091516,0.9564128256513026,0.7560240963855421,0.6061412315930389,0.9729919678714859,0.7332736389684814
13,1873.216298341751,0.03233638545564966,0.03706783020072224,0.03004971157828484,0.1262589394299683,0.7623997995991983,0.6223112892451569,0.9657314629258518,0.7582831325301205,0.6057563587684068,0.9770582329317269,0.7319842406876791
14,1872.9486355781555,0.03233502426913227,0.0365700310041911,0.028858205789274616,0.12356492948675442,0.7627755511022044,0.6236472945891784,0.9689629258517033,0.7582831325301205,0.6077811244979922,0.9782630522088354,0.7322349570200573
15,1874.8978185653687,0.03233494584643439,0.03609967349194379,0.027965136757493767,0.12154483726110032,0.7694138276553106,0.6242568470273882,0.9696392785571143,0.7640562248995983,0.6092202141900936,0.9782630522088354,0.7321275071633238
16,1872.2571823596954,0.03207949225518607,0.03577219436027439,0.0272644524941247,0.12000391237766207,0.7719188376753507,0.6247828991315965,0.9679859719438877,0.7622991967871486,0.6089357429718876,0.9769578313253011,0.7295845272206304
17,1889.9827318191528,0.03195524047219587,0.035722453598808275,0.026907644756250307,0.11913453574424875,0.7709168336673347,0.6243319973279893,0.9695891783567134,0.7633032128514057,0.6085508701472557,0.9765562248995984,0.7331661891117478
18,1876.5781445503235,0.03195126745302796,0.03562983268325827,0.02637069505865206,0.11784232162192972,0.7732965931863728,0.6250334001336005,0.9692635270541082,0.7635542168674698,0.6099899598393573,0.9746485943775101,0.732772206303725
19,1876.6103868484497,0.032095922016802864,0.035494249090589736,0.026202423305330957,0.11736754784155226,0.7751753507014028,0.6255594522378091,0.9667084168336673,0.7643072289156626,0.6094377510040161,0.9724899598393574,0.7324498567335244
20,1876.3854529857635,0.032214430635554826,0.03533809868213029,0.025857135658161733,0.11647805496154424,0.7739228456913828,0.6259769539078156,0.9649048096192384,0.7633032128514057,0.6107597054886212,0.9705823293172692,0.7305515759312321
21,1876.8523209095001,0.032097004319308994,0.035326377551789474,0.025706339371810577,0.11613643796132776,0.7761773547094188,0.625935203740815,0.9637274549098196,0.7630522088353414,0.6105923694779116,0.9701305220883534,0.7296203438395416
22,1876.0398919582367,0.03230858899754362,0.03523239554803684,0.02560251532682406,0.11583907123961167,0.7753006012024048,0.6263443553774215,0.9626503006012023,0.7633032128514057,0.6111278447121822,0.9683232931726908,0.7337750716332379
23,1876.5400581359863,0.0320833116791139,0.0351907762532388,0.025500436260258566,0.11556066872406459,0.7755511022044088,0.6263944555778223,0.9615981963927855,0.7635542168674698,0.6108601070950469,0.967570281124498,0.7342406876790831
24,1875.853389263153,0.032032893451843354,0.03518888457719401,0.025323835321942826,0.11513914446344595,0.7751753507014028,0.6263360053440215,0.9618236472945891,0.7628012048192772,0.6109103078982597,0.9668674698795181,0.7324140401146132
25,1875.1193623542786,0.0320500367188981,0.035154298078792404,0.025246996671439172,0.1149147535284201,0.7758016032064128,0.626194054776219,0.9613977955911824,0.7628012048192772,0.6106425702811246,0.9663654618473896,0.7330945558739255
26,1872.4669198989868,0.03194196520274489,0.035144236191254424,0.02521188920018504,0.11484530439342788,0.7765531062124249,0.6262775551102205,0.9607464929859719,0.7638052208835341,0.6117135207496653,0.9656626506024096,0.7339541547277937
27,1873.5133357048035,0.03226696120783217,0.03515673724861524,0.025189803145221155,0.11477086449672798,0.7774298597194389,0.6262775551102205,0.9608466933867735,0.7648092369477911,0.6107262382864792,0.9658634538152611,0.7345272206303725
28,1872.4443864822388,0.03220651390319183,0.035165892380484225,0.025155069903733736,0.11467831903967805,0.7775551102204409,0.6264779559118235,0.9604208416833667,0.7653112449799196,0.6106760374832664,0.9651606425702811,0.7309097421203439
29,1872.3168036937714,0.031937282850143946,0.03515103890889709,0.025114202138898756,0.11457041469971857,0.7785571142284569,0.6264278557114228,0.9602955911823647,0.7668172690763052,0.610809906291834,0.9657128514056225,0.7330587392550143
30,1873.1121401786804,0.03231518139854543,0.03515701540596185,0.02510197367379162,0.11453750951659823,0.7784318637274549,0.626377755511022,0.9602955911823647,0.7658132530120482,0.6110776439089693,0.9654116465863454,0.7321633237822349
31,1872.3144891262054,0.03229083606898571,0.03516114019530724,0.02508862574215239,0.11450714890085505,0.7785571142284569,0.6265447561790248,0.9601703406813628,0.7655622489959839,0.611479250334672,0.9654116465863454,0.7295845272206304
32,1873.3313927650452,0.03208003104103991,0.03516374196133475,0.02507516436086583,0.11447930648430196,0.7779308617234469,0.626444555778223,0.9602204408817635,0.7660642570281124,0.6111445783132531,0.9651606425702811,0.7308022922636103
33,1873.4327340126038,0.031939306182194406,0.03516412829890488,0.025067480725659903,0.11445812359900179,0.7781813627254509,0.626561456245825,0.9601452905811624,0.7648092369477911,0.6109772423025436,0.9650602409638553,0.7303724928366763
34,1872.6249206066132,0.03197161246993096,0.035169414540072046,0.025059516784755553,0.11443735049563443,0.7784318637274549,0.6265113560454242,0.9601703406813628,0.7653112449799196,0.6113621151271754,0.9650100401606424,0.7321275071633238
35,1872.3291974067688,0.03204757125760004,0.0351633502162963,0.025049577050008074,0.11441773462868883,0.7784318637274549,0.6263610554442218,0.9601953907815631,0.7650602409638554,0.6111445783132531,0.964859437751004,0.7330229226361031
36,1872.5433900356293,0.031940257423463944,0.035170271752372265,0.02504562373125631,0.11440154395713835,0.7783066132264529,0.626319305277221,0.960245490981964,0.7645582329317269,0.6107764390896921,0.9648092369477912,0.733810888252149
